Cód do Município,Município,Mesoregiao,Regional de Saúde,População,Leitos,Estabelecimentos,Demografia Geral,Demografia Faixa Etária,Fluxo de Pacientes,Score Final
221039,São Miguel do Fidalgo,Sudoeste Piauiense,Vale Dos Rios Piauì E Itaueiras,3037,0.0,4.78,22.1,79.32,-1.99,20.84
220271,Cocal de Telha,Centro Norte Piauiense,Carnaubais,4908,0.0,4.74,23.95,79.29,-3.76,20.84
220865,Queimada Nova,Sudeste Piauiense,Vale Do Rio Guaribas,9041,0.0,8.91,23.48,76.28,-4.72,20.79
220755,Paquetá,Sudeste Piauiense,Vale Do Rio Guaribas,3931,0.0,5.08,22.03,78.37,-1.55,20.79
221150,Vera Mendes,Sudeste Piauiense,Vale Do Rio Guaribas,3082,0.0,4.66,21.42,79.76,-1.92,20.78
220435,Geminiano,Sudeste Piauiense,Vale Do Rio Guaribas,5477,0.0,6.15,24.26,76.52,-3.1,20.77
221160,Vila Nova do Piauí,Sudeste Piauiense,Vale Do Rio Guaribas,2935,0.0,5.69,24.54,74.65,-1.18,20.74
221062,Sebastião Barros,Sudoeste Piauiense,Chapada Das Mangabeiras,3434,0.0,6.14,22.87,75.57,-0.89,20.74
220245,Capitão Gervásio Oliveira,Sudeste Piauiense,Serra Da Capivara,4127,0.0,5.19,22.93,77.22,-1.85,20.7
220273,Coivaras,Centro Norte Piauiense,Entre Rios,4044,0.0,4.24,23.71,78.51,-3.03,20.69
220205,Cabeceiras do Piauí,Norte Piauiense,Carnaubais,10671,0.0,6.73,25.55,76.68,-5.98,20.6
220535,João Costa,Sudeste Piauiense,Serra Da Capivara,3003,0.0,5.27,25.71,73.8,-1.92,20.57
220558,Lagoa do Piauí,Centro Norte Piauiense,Entre Rios,4086,0.0,4.47,26.04,74.85,-2.51,20.57
220198,Brejo do Piauí,Sudoeste Piauiense,Vale Dos Rios Piauì E Itaueiras,3824,0.0,4.84,21.54,77.81,-1.4,20.56
220213,Campo Grande do Piauí,Sudeste Piauiense,Vale Do Rio Guaribas,5987,0.0,6.15,24.83,74.25,-2.66,20.51
220157,Belém do Piauí,Sudeste Piauiense,Vale Do Rio Guaribas,3607,0.0,4.13,23.91,76.09,-1.85,20.46
220415,Francisco Macedo,Sudeste Piauiense,Vale Do Rio Guaribas,3216,0.0,4.08,24.24,74.99,-1.03,20.46
220955,São Braz do Piauí,Sudoeste Piauiense,Serra Da Capivara,4454,0.0,3.91,24.65,78.1,-4.43,20.45
220045,Alvorada do Gurguéia,Sudoeste Piauiense,Chapada Das Mangabeiras,5469,0.0,6.24,24.96,74.09,-3.03,20.45
220285,Coronel José Dias,Sudoeste Piauiense,Serra Da Capivara,4688,0.0,4.71,22.67,79.28,-4.5,20.43
220785,Pavussu,Sudoeste Piauiense,Vale Dos Rios Piauì E Itaueiras,3662,0.0,3.55,21.93,78.27,-1.92,20.37
220325,Curralinhos,Centro Norte Piauiense,Entre Rios,4475,0.0,4.27,23.31,77.15,-3.03,20.34
221005,São José do Divino,Norte Piauiense,Cocais,5361,0.0,7.69,24.74,71.13,-2.07,20.3
220253,Caraúbas do Piauí,Norte Piauiense,Planície Litorânea,5910,0.0,6.6,22.09,76.0,-3.25,20.29
220105,Assunção do Piauí,Centro Norte Piauiense,Carnaubais,7879,0.0,7.37,21.1,76.4,-3.54,20.27
220997,São João do Arraial,Norte Piauiense,Cocais,8085,0.0,7.44,24.41,76.36,-6.86,20.27
220155,Bela Vista do Piauí,Sudeste Piauiense,Vale Do Canindè,4044,0.0,5.09,24.39,73.82,-2.07,20.25
220177,Boa Hora,Norte Piauiense,Carnaubais,6848,0.0,4.27,25.26,75.84,-4.21,20.23
220775,Passagem Franca do Piauí,Centro Norte Piauiense,Entre Rios,4331,0.0,4.48,23.42,75.03,-1.92,20.2
220975,São Gonçalo do Gurguéia,Sudoeste Piauiense,Chapada Das Mangabeiras,3071,0.0,2.53,24.83,74.58,-1.11,20.17
220930,Santa Luz,Sudoeste Piauiense,Chapada Das Mangabeiras,5903,0.0,4.85,24.58,76.03,-4.72,20.15
220255,Caridade do Piauí,Sudeste Piauiense,Vale Do Rio Guaribas,5102,0.0,6.31,23.21,74.25,-3.17,20.12
220669,Murici dos Portelas,Norte Piauiense,Planície Litorânea,9258,0.0,6.14,23.56,74.67,-3.99,20.08
220665,Morro Cabeça no Tempo,Sudoeste Piauiense,Chapada Das Mangabeiras,4527,0.0,4.74,22.07,75.97,-2.36,20.08
220793,Pedro Laurentino,Sudeste Piauiense,Vale Dos Rios Piauì E Itaueiras,2551,0.0,5.29,23.25,72.99,-1.33,20.04
220515,Jacobina do Piauí,Sudeste Piauiense,Vale Do Rio Guaribas,5718,0.0,7.54,22.78,72.25,-2.73,19.97
220795,Nova Santa Rita,Sudeste Piauiense,Vale Dos Rios Piauì E Itaueiras,4392,0.0,5.13,23.23,74.32,-2.88,19.96
220885,Riacho Frio,Sudoeste Piauiense,Chapada Das Mangabeiras,4306,0.0,5.73,22.61,72.52,-1.18,19.94
220192,Bonfim do Piauí,Sudoeste Piauiense,Serra Da Capivara,5700,0.0,3.81,23.72,76.64,-4.65,19.9
220211,Campo Alegre do Fidalgo,Sudeste Piauiense,Serra Da Capivara,5093,0.0,5.72,22.76,72.67,-2.07,19.82
220217,Campo Largo do Piauí,Norte Piauiense,Cocais,7342,0.0,7.29,22.8,73.19,-4.21,19.81
220667,Morro do Chapéu do Piauí,Norte Piauiense,Cocais,6825,0.0,4.99,24.28,74.55,-5.09,19.75
220635,Milton Brandão,Centro Norte Piauiense,Cocais,6603,0.0,6.27,21.54,75.76,-4.8,19.75
221095,Tamboril do Piauí,Sudoeste Piauiense,Vale Dos Rios Piauì E Itaueiras,2939,0.0,4.32,20.92,74.82,-1.33,19.75
220965,São Francisco de Assis do Piauí,Sudeste Piauiense,Vale Do Canindè,5801,0.0,5.57,20.81,74.44,-2.58,19.65
221135,Várzea Branca,Sudoeste Piauiense,Serra Da Capivara,4930,0.0,4.73,23.6,74.29,-4.5,19.62
220005,Acauã,Sudeste Piauiense,Vale Do Rio Guaribas,7119,0.0,5.12,22.5,75.23,-5.09,19.55
220173,Betânia do Piauí,Sudeste Piauiense,Vale Do Rio Guaribas,6214,0.0,5.76,21.45,74.76,-4.58,19.48
220272,Cocal dos Alves,Norte Piauiense,Planície Litorânea,6180,0.0,4.69,22.05,73.66,-3.47,19.39
220327,Curral Novo do Piauí,Sudeste Piauiense,Vale Do Rio Guaribas,5390,0.0,4.78,23.07,72.71,-4.06,19.3
220265,Caxingó,Norte Piauiense,Planície Litorânea,5477,0.0,5.95,21.28,72.78,-3.91,19.22
220455,Guaribas,Sudoeste Piauiense,Serra Da Capivara,4573,0.0,4.88,21.2,69.93,-4.28,18.35
