Cód do Município,Município,Mesoregiao,Regional de Saúde,População,Leitos,Estabelecimentos,Demografia Geral,Demografia Faixa Etária,Fluxo de Pacientes,Score Final
220910,Santa Cruz do Piauí,Sudeste Piauiense,Vale Do Rio Guaribas,6254,39.46,4.97,22.95,79.39,-0.69,29.22
220480,Ipiranga do Piauí,Sudeste Piauiense,Vale Do Rio Guaribas,9863,39.29,5.11,23.94,77.91,-0.82,29.09
220140,Barro Duro,Centro Norte Piauiense,Entre Rios,7022,39.29,3.04,25.61,78.19,-0.71,29.08
220500,Itainópolis,Sudeste Piauiense,Vale Do Rio Guaribas,11571,39.29,4.7,21.05,81.13,-0.92,29.05
220510,Itaueira,Sudoeste Piauiense,Vale Dos Rios Piauì E Itaueiras,11037,39.51,5.1,22.65,78.45,-0.8,28.98
220880,Regeneração,Centro Norte Piauiense,Entre Rios,17979,39.54,4.85,23.67,77.79,-1.2,28.93
220595,Marcolândia,Sudeste Piauiense,Vale Do Rio Guaribas,8590,43.53,3.45,25.53,72.35,-0.6,28.85
220010,Agricolândia,Centro Norte Piauiense,Entre Rios,5123,32.14,4.21,24.03,84.34,-0.62,28.82
220060,Angical do Piauí,Centro Norte Piauiense,Entre Rios,6779,32.14,4.17,24.78,83.92,-0.94,28.81
220520,Jaicós,Sudeste Piauiense,Vale Do Rio Guaribas,19233,39.77,6.3,21.28,77.82,-1.23,28.79
221110,União,Centro Norte Piauiense,Entre Rios,44649,39.73,7.8,24.21,77.36,-5.23,28.77
220990,São João da Serra,Centro Norte Piauiense,Carnaubais,6106,35.71,2.88,22.12,84.04,-0.88,28.77
221030,São Julião,Sudeste Piauiense,Vale Do Rio Guaribas,6379,39.39,2.31,23.05,79.48,-0.69,28.71
220640,Monsenhor Gil,Centro Norte Piauiense,Entre Rios,10563,35.71,5.21,23.98,79.84,-1.28,28.69
220470,Inhuma,Centro Norte Piauiense,Vale Do Sambito,15330,35.71,6.15,24.23,78.64,-1.43,28.66
